Format Version,1.23,Take Name,Corner Reflector,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-01 01.20.55.123 PM,Total Frames in Take,2439,Total Exported Frames,2439,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker1,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker2,Corner Reflector:Marker3,Corner Reflector:Marker3,Corner Reflector:Marker3
,ID,"6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","6F334016B48011E97C158CA05683E95","C58A0","C58A0","C58A0","C58E0","C58E0","C58E0","C5E10","C5E10","C5E10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
58,0.161111,0.002335,-0.005690,0.009800,-0.999933,1.793018,-0.017298,-1.810308,1.811556,-0.015531,-1.860219,1.774700,-0.015963,-1.825890,1.794670,-0.018408,-1.743827
59,0.163889,0.001538,-0.005332,0.017663,-0.999829,1.793106,-0.017393,-1.810241,1.811608,-0.015502,-1.860195,1.774754,-0.015936,-1.825991,1.794599,-0.018631,-1.743739
60,0.166667,0.003494,-0.004808,0.011211,-0.999920,1.792954,-0.017233,-1.810296,1.811540,-0.015419,-1.860147,1.774691,-0.015962,-1.825897,1.794232,-0.017837,-1.743733
61,0.169444,0.006969,-0.006042,0.024823,-0.999649,1.792760,-0.017197,-1.810036,1.810254,-0.019906,-1.860167,1.774682,-0.016105,-1.825895,1.794643,-0.018146,-1.743691
62,0.172222,0.004937,-0.004079,0.009976,-0.999930,1.793032,-0.017216,-1.810096,1.811553,-0.015532,-1.860232,1.774668,-0.015977,-1.825938,1.794696,-0.017810,-1.743448
63,0.175000,0.003871,-0.005365,0.011548,-0.999911,1.793046,-0.017279,-1.810220,1.811555,-0.015412,-1.860170,1.774659,-0.016041,-1.825905,1.794360,-0.017727,-1.743664
64,0.177778,0.002998,-0.005691,0.014957,-0.999867,1.793119,-0.017344,-1.810112,1.811569,-0.015504,-1.860202,1.774699,-0.015843,-1.825881,1.794729,-0.017939,-1.743482
65,0.180556,0.004242,-0.005243,0.012100,-0.999904,1.792849,-0.017185,-1.810187,1.811563,-0.015564,-1.860193,1.774657,-0.016034,-1.825960,1.794728,-0.018410,-1.743909
66,0.183333,0.003877,-0.004829,0.015796,-0.999856,1.792992,-0.017227,-1.810162,1.811518,-0.015589,-1.860245,1.774748,-0.016004,-1.825998,1.794534,-0.016901,-1.743613
67,0.186111,0.004341,-0.004125,0.014891,-0.999871,1.792981,-0.017191,-1.810163,1.811576,-0.015550,-1.860182,1.774714,-0.016011,-1.825963,1.794578,-0.018387,-1.743917
68,0.188889,0.006741,-0.005393,0.022954,-0.999699,1.792809,-0.017310,-1.810064,1.810252,-0.019769,-1.860218,1.774727,-0.016026,-1.825942,1.794593,-0.018209,-1.743793
69,0.191667,0.003899,-0.006444,0.016726,-0.999832,1.792908,-0.017094,-1.810179,1.811551,-0.015499,-1.860210,1.774740,-0.015910,-1.825931,1.794509,-0.016826,-1.743544
70,0.194444,0.007068,-0.004778,0.019935,-0.999765,1.792703,-0.017391,-1.810171,1.810194,-0.019809,-1.860141,1.774728,-0.015940,-1.825898,1.794116,-0.017690,-1.743661
71,0.197222,0.003852,-0.005013,0.014494,-0.999875,1.792871,-0.017042,-1.810100,1.811543,-0.015506,-1.860196,1.774742,-0.015951,-1.826014,1.794138,-0.017673,-1.743588
72,0.200000,0.002678,-0.005723,0.015193,-0.999865,1.792999,-0.017184,-1.810177,1.811544,-0.015494,-1.860200,1.774655,-0.016129,-1.825862,1.794618,-0.018689,-1.743809
73,0.202778,0.003967,-0.004792,0.016122,-0.999851,1.792704,-0.016922,-1.810196,1.811558,-0.015506,-1.860167,1.774675,-0.016171,-1.825887,1.794475,-0.016850,-1.743692
74,0.205556,0.004796,-0.004324,0.011093,-0.999918,1.793051,-0.017270,-1.810105,1.811520,-0.015527,-1.860190,1.774690,-0.015930,-1.825903,1.794371,-0.017286,-1.743487
